sensor_id,sensor_description,sensor_name,installation_date,status,note,direction_1,direction_2,latitude,longitude,location
43,Monash Rd-Swanston St (West),UM2_T,15/04/2015,A,,South,North,-37.79844525,144.9641178,"(-37.79844525, 144.96411782)"
44,Tin Alley-Swanston St (West),UM3_T,15/04/2015,A,,South,North,-37.79690473,144.9644038,"(-37.79690473, 144.96440378)"
46,Pelham St (South),Pel147_T,10/07/2017,A,,West,East,-37.80240719,144.9615673,"(-37.80240719, 144.96156731)"
47,Melbourne Central-Elizabeth St (East)Melbourne Central-Elizabeth St (East),Eli250_T,24/08/2017,A,,South,North,-37.81160331,144.9622008,"(-37.81160331, 144.96220077)"
48,QVM-Queen St (East),QVMQ_T,02/10/2017,A,,East,West,-37.80631581,144.958667,"(-37.80631581, 144.95866698)"
49,QVM-Therry St (South),Eli501_T,29/11/2017,A,,West,East,-37.80730067,144.9595606,"(-37.80730067, 144.95956055)"
50,Faraday St-Lygon St (West),Lyg309_T,30/11/2017,A,,North,South,-37.79808191,144.9672101,"(-37.79808191, 144.96721014)"
51,QVM-Franklin St (North),Fra118_T,30/11/2017,A,,West,East,-37.80841814,144.9590632,"(-37.80841814, 144.95906317)"
52,Elizabeth St-Lonsdale St (South),Eli263_T,31/07/2017,A,,West,East,-37.81252157,144.9619401,"(-37.81252157, 144.9619401)"
53,Collins Street (North),Col254_T,23/09/2015,A,,West,East,-37.8156419,144.965499,"(-37.8156419, 144.965499)"
54,Lincoln-Swanston (West),Swa607_T,26/06/2018,A,,South,North,-37.804024,144.963084,"(-37.804024, 144.963084)"
56,Lonsdale St - Elizabeth St (North),Lon364_T,25/07/2018,A,,East,West,-37.81234775,144.9615331,"(-37.81234775, 144.96153311)"
57,Bourke St Bridge,BouBri_T,13/08/2018,A,,West,East,-37.8176735,144.950256,"(-37.8176735, 144.95025595)"
58,Bourke St - Spencer St (North),Bou688_T,27/09/2018,A,,West,East,-37.81686074,144.9535808,"(-37.81686074, 144.95358075)"
59,Building 80 RMIT,RMIT_T,13/02/2019,A,,North,South,-37.80825648,144.9630486,"(-37.80825648, 144.96304859)"
